Timestamp,User,Action,Doc Tracer #,Details,Routing Tracker #
5/2/2026 18:59:28,carlolidres@gmail.com,Deleted registry value,,Status: In EDMS,
5/2/2026 18:59:48,carlolidres@gmail.com,Added registry value,,Status: In EDMS,
5/2/2026 19:00:05,carlolidres@gmail.com,Deleted registry value,,Department: Validation,
5/2/2026 19:00:18,carlolidres@gmail.com,Deleted registry value,,Department: QA,
5/2/2026 19:00:29,carlolidres@gmail.com,Deleted registry value,,Department: Regulatory,
5/2/2026 19:00:37,carlolidres@gmail.com,Deleted registry value,,Department: Production,
5/2/2026 19:09:35,carlolidres@gmail.com,Added registry value,,Department: DPM,
5/2/2026 19:09:45,carlolidres@gmail.com,Added registry value,,Department: DPP,
5/2/2026 19:09:59,carlolidres@gmail.com,Deleted registry value,,Department: DPP,
5/2/2026 19:31:56,carlolidres@gmail.com,Created document,API8,New document routing record created.,
5/2/2026 19:36:50,carlolidres@gmail.com,Created document,D9RO,New document routing record created.,
5/2/2026 19:42:38,carlolidres@gmail.com,Created document,B7H7,New document routing record created.,
5/2/2026 19:45:00,carlolidres@gmail.com,Created document,L7XO,New document routing record created.,
5/2/2026 21:04:07,carlolidres@gmail.com,Updated document,F8TJ,VMP-ST Rev No. 23,"{""Batch No."":{""from"":"""",""to"":""NA""},""Client Name"":{""from"":"""",""to"":""NA""},""Updated At"":{""from"":""2026-05-02"",""to"":""2026-05-02T13:04:06.482Z""}}"
5/3/2026 19:28:14,carlolidres@gmail.com,Updated document,F8TJ,VMP-ST Rev No. 23,"{""Remarks"":{""from"":"""",""to"":""Urgent""},""Updated At"":{""from"":""2026-05-02"",""to"":""2026-05-03T11:28:14.218Z""}}"
5/4/2026 7:14:57,Unknown user,Deleted registry value,,,Sent / Routing: Carl
5/4/2026 7:20:17,Unknown user,Updated document,Q8MF,VMP-MM-11-000-008E,"{""Doc Tracer #"":{""from"":""VMP-MM-11-000-08E"",""to"":""VMP-MM-11-000-008E""},""Updated At"":{""from"":""2026-05-02"",""to"":""2026-05-03T23:20:16.595Z""},""Updated By"":{""from"":""carlolidres@gmail.com"",""to"":""Unknown user""}}"
5/4/2026 7:28:00,Unknown user,Created document,6VOD,VMP-MM-01-000-301P.1,New document routing record created.
5/4/2026 8:07:05,Unknown user,Added registry value,,,Report / Protocol: APR
5/4/2026 8:07:42,Unknown user,Added registry value,,,Category: APR
5/4/2026 8:09:24,Unknown user,Created document,4LVO,APR-2026-030,New document routing record created.
5/4/2026 8:13:39,Unknown user,Added registry value,,,Prepared by: FBP
5/4/2026 8:14:59,Unknown user,Added registry value,,,Prepared by: FBP & LAL
5/4/2026 8:15:19,Unknown user,Added registry value,,,Prepared by: ADF & CML
5/4/2026 8:16:10,Unknown user,Updated document,4LVO,APR-2026-030,"{""Prepared By"":{""from"":"""",""to"":""FBP & LAL""},""Date Prepared"":{""from"":"""",""to"":""2026-04-30""},""Checked By"":{""from"":"""",""to"":""CML""},""Date Checked"":{""from"":"""",""to"":""2026-04-30""},""Updated At"":{""from"":""2026-05-04"",""to"":""2026-05-04T00:16:10.280Z""}}"
5/4/2026 8:17:02,Unknown user,Updated document,4LVO,APR-2026-030,"{""Client Name"":{""from"":"""",""to"":""JNTL Consumer Health (Philippines), Inc.""},""Updated At"":{""from"":""2026-05-04"",""to"":""2026-05-04T00:17:02.298Z""}}"
5/4/2026 8:18:23,Unknown user,Updated document,4LVO,APR-2026-030,"{""Report/Protocol"":{""from"":"""",""to"":""APR""},""Target Completion Date"":{""from"":"""",""to"":""2026-05-04""},""Updated At"":{""from"":""2026-05-04"",""to"":""2026-05-04T00:18:22.536Z""}}"
5/4/2026 8:19:10,Unknown user,Updated document,4LVO,APR-2026-030,"{""Date Sent"":{""from"":"""",""to"":""2026-05-04""},""Updated At"":{""from"":""2026-05-04"",""to"":""2026-05-04T00:19:09.962Z""}}"
5/4/2026 8:24:12,Unknown user,Added registry value,,,Status: Timi
5/4/2026 8:24:21,Unknown user,Deleted registry value,,,Status: Timi
5/4/2026 9:02:03,Unknown user,Added registry value,,,Prepared by: FBP & CML
5/4/2026 9:04:39,Unknown user,Created document,UHHT,APR-2026-003,New document routing record created.
5/4/2026 9:18:12,Unknown user,Created document,1I2F,VMP-MM-02-000-103P-9,New document routing record created.
5/4/2026 9:19:43,Unknown user,Updated document,1I2F,VMP-MM-02-000-103P-9,"{""Equipment/Product"":{""from"":""Cetirizine Hydrochloride 5mg/5mL Syrup"",""to"":""Cetirizine Hydrochloride 5mg/5mL Syrup (AXLS)""},""Status"":{""from"":"""",""to"":""Routing""},""Updated At"":{""from"":""2026-05-04"",""to"":""2026-05-04T01:19:43.063Z""}}"
5/4/2026 9:27:27,Unknown user,Updated document,T7CN,VMP-MM-01-000-193E-1,"{""Remarks"":{""from"":"""",""to"":""MVC – internal routing of batch docs (04 May 2026)""},""Updated At"":{""from"":""2026-05-02"",""to"":""2026-05-04T01:27:27.116Z""},""Updated By"":{""from"":""carlolidres@gmail.com"",""to"":""Unknown user""}}"
5/4/2026 10:14:56,Unknown user,Created document,W5L3,APR-2026-016,New document routing record created.
5/4/2026 14:33:33,Unknown user,Updated document,1I2F,VMP-MM-02-000-103P-9,"{""Sent/Routing To"":{""from"":""Steve"",""to"":""Cara""},""Updated At"":{""from"":""2026-05-04"",""to"":""2026-05-04T06:33:33.152Z""}}"
5/4/2026 14:33:35,Unknown user,Updated document,1I2F,VMP-MM-02-000-103P-9,"{""Updated At"":{""from"":""2026-05-04"",""to"":""2026-05-04T06:33:34.886Z""}}"
5/4/2026 21:10:58,carlolidres@gmail.com,Added registry value,,,Sent / Routing: Jude
5/4/2026 21:29:12,carlolidres@gmail.com,Added registry value,,,Sent / Routing: Jojo
5/5/2026 6:54:20,Unknown user,Deleted registry value,,,Sent / Routing: Jojo
5/5/2026 6:59:07,Unknown user,Added registry value,,,Sent / Routing: Jojo
5/5/2026 7:00:41,Unknown user,Deleted registry value,,,Sent / Routing: Jojo
5/5/2026 7:01:40,Unknown user,Added registry value,,,Sent / Routing: Jojo
5/5/2026 7:07:56,Unknown user,Updated document,J5NA,VMP-MM-02-000-117P-11,"{""Sent/Routing To"":{""from"":""Cara"",""to"":""Aiza""},""Updated At"":{""from"":""2026-05-02"",""to"":""2026-05-04T23:07:55.969Z""},""Updated By"":{""from"":""carlolidres@gmail.com"",""to"":""Unknown user""}}"
5/5/2026 7:07:59,Unknown user,Updated document,J5NA,VMP-MM-02-000-117P-11,"{""Updated At"":{""from"":""2026-05-05"",""to"":""2026-05-04T23:07:58.984Z""}}"
5/5/2026 7:08:01,Unknown user,Updated document,J5NA,VMP-MM-02-000-117P-11,"{""Updated At"":{""from"":""2026-05-05"",""to"":""2026-05-04T23:08:00.448Z""}}"
5/5/2026 7:19:54,Unknown user,Updated document,J5NA,VMP-MM-02-000-117P-11,"{""Sent/Routing To"":{""from"":""Aiza"",""to"":""Ron""},""Date Sent"":{""from"":""2026-04-30"",""to"":""2026-05-05""},""Updated At"":{""from"":""2026-05-05"",""to"":""2026-05-04T23:19:53.882Z""}}"
5/5/2026 7:19:59,Unknown user,Updated document,J5NA,VMP-MM-02-000-117P-11,"{""Updated At"":{""from"":""2026-05-05"",""to"":""2026-05-04T23:19:58.458Z""}}"
