Routing Tracker #,Doc Tracer #,Equipment/Product,Category,IL-Tag,Status,Sent/Routing To,Email,Date Sent,Report/Protocol,Batch No.,Client Name,Department,Prepared By,Date Prepared,Checked By,Date Checked,Target Completion Date,Remarks,Created At,Updated At,Updated By,Signatories,Total Routing Duration,Routing Completed At
API8,VMP-MM-11-000-008E-1,Betadine 7.5% Feminine Wash (BFW),Process,NA,Routing,Ernz,NA,2026-06-17,Endorsement,26BFW-19,iNova Pharmaceuticals Philippines,TOP,CML,2026-04-22,SBA,2026-05-22,2026-05-15,Enz for implementation,2026-05-02 0:00:00,6/16/2026 17:39:54,Unknown user,"[{""Name"":""Ernz"",""Order"":1,""Status"":""Active"",""Date/time forwarded"":""2026-06-16 17:39:00"",""Date/time signed"":"""",""Duration pending/signing time"":""""}]",,
D9RO,VMP-MM-02-000-075R-12,Clusivol Syrup,Process,NA,Sent,Isaiah,,2026-04-29,Report,"2025CSY-1, 2025CSY-2, 2025CSY-3",Haleon,LPM,ADF,2026-04-22,CML,2026-04-22,2026-09-30,for client approval,2026-05-02,6/2/2026 6:57:53,Unknown user,,,
B7H7,VMP-MM-00-000-076P-4,Elica 1mg per g Cream (EAM),Process,,Sent,Rev,,2026-05-11,Protocol,,"Bayer Philippines, Inc. – Pharma Division",CO,ADF,2026-04-27,CML,2026-04-27,2026-05-08,For sending to client,2026-05-02,5/14/2026 6:24:47,Unknown user,,,
L7XO,VMP-MM-01-000-289P,Calci-Aid 500 mg Softgel Capsule  (CAID),Process,n/a,In EDMS,Isaiah,,2026-06-03,Protocol,,"Bayer Philippines, Inc. – Pharma Division",SG,ADF,2026-04-27,CML,2026-04-27,2026-06-02,"Sent to Rev for client approval, c/o Carl",2026-05-02 0:00:00,6/4/2026 13:48:50,carlolidres@gmail.com,"[{""Name"":""Client"",""Order"":1,""Status"":""Active"",""Date/time forwarded"":""2026-06-03 08:30:00"",""Date/time signed"":"""",""Duration pending/signing time"":""""}]",,
X4Q9,VMP-MM-01-000-185R-3,Ponstan 250mg Capsule (PTNP),Process,NA,Sent,Icel,,28 Apr 2026,Charac. Report,"25PTNP1T1,25PTNP1T2,25PTNP1T3",Pfizer Inc.,DPM,NIV,6 Apr 2026,SBA,6 Apr 2026,2026-05-30,,5/2/2026 19:45:00,5/2/2026 19:45:00,carlolidres@gmail.com,,,
K2L7,VMP-MM-01-000-270P-2,Aspirin 80mg Enteric Coated Tablet (ASEC),Process,NA,In EDMS,Isaiah,,1 Jun 2026,Ver. Protocol,NA,Interphil Laboratories Inc.,DPM,ADF,13 Apr 2026,SBA,13 Apr 2026,2026-05-30,"corrected, inserted the RnD coating pan in the protocol",2026-05-02,6/1/2026 8:30:51,Unknown user,,,
M8ZT,VMP-MM-01-000-195P-8,Cetirizine HCl 10 mg Film-Coated Tablet (CTZA),Process,NA,In EDMS,Isaiah,,8 May 2026,Ver. Protocol,NA,Interphil Laboratories Inc.,DPM,ADF,17 Apr 2026,CML,17 Apr 2026,2026-05-30,,2026-05-02,5/8/2026 15:27:55,Unknown user,,,
P9WA,VMP-MM-01-000-151R-5,Ciprofloxacin 500mg Film-Coated Tablet (CIRT),Process,NA,In EDMS,Isaiah,,22 May 2026,Ver. Report,NA,Interphil Laboratories Inc.,DPM,ADF,15 May 2026,CML,15 May 2026,2026-05-30,For client signature,2026-05-02,5/22/2026 15:39:17,Unknown user,,,
R3VX,VMP-MM-01-000-031E-6,Tempra 325 mg Tablet (TPTL),Process,NA,In EDMS,Isaiah,,11 May 2026,Verif. Endorsement Report,2025TPTL-181,NA,DPM,NIV,24 Mar 2026,SBA,24 Mar 2026,2026-05-30,,2026-05-02,5/11/2026 16:35:42,Unknown user,,,
T7CN,VMP-MM-01-000-193E-1,Mosegor Vita Capsule (MVC),Process,NA,Completed,Isaiah,,5 Jun 2026,Charac. Endorsement,2024MVC-9,NA,DPM,ADF,18 Mar 2026,CML,18 Mar 2026,2026-05-30,n/a,2026-05-02 0:00:00,6/9/2026 15:42:09,carlolidres@gmail.com,"[{""Name"":""Ernz"",""Order"":1,""Status"":""Signed"",""Date/time forwarded"":""2026-06-05 08:26:23"",""Date/time signed"":""2026-06-05 08:26:45"",""Duration pending/signing time"":""0 mins""}]",0 mins,2026-06-05 8:26:45
